12637_medium_hst_gs_1180
Freq Project Ang_Res Int_Time Targ_Name Tunings MOUS
227.402 2015.1.00821.S 0.552 2479.68 z7_GSD_3811 1 uid://A001/X2fe/X1a7
398.535 2017.1.00190.S 0.147 11491.2 z7_GSD_3811 1 uid://A001/X128e/X3b0
227.62 2017.1.00190.S 0.445 6894.72 z7_GSD_3811 1 uid://A001/X128e/X3b4
99.538 2021.1.00024.S 0.565 120.96 cdfs29 1 uid://A001/X1590/X35b3
154.938 2021.1.00024.S 1.069 96.768 cdfs29 1 uid://A001/X1590/X35c3
95.788 2021.1.00024.S 0.619 120.96 cdfs29 1 uid://A001/X1590/X35af
151.188 2021.1.00024.S 0.807 96.768 cdfs29 1 uid://A001/X1590/X35bf
147.438 2021.1.00024.S 0.836 96.768 cdfs29 1 uid://A001/X1590/X35bb
92.038 2021.1.00024.S 0.666 120.96 cdfs29 1 uid://A001/X1590/X35ab
103.288 2021.1.00024.S 0.947 120.96 cdfs29 1 uid://A001/X1590/X35b7
238.0 2021.1.00024.S 0.741 60.48 cdfs29 1 uid://A001/X1590/X35e3
-----
